2025-03-22 22:22:58,118 - Episode 113/1000 | Total Reward: -223984.31 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.12s
2025-03-22 22:23:02,894 - Episode 114/1000 | Total Reward: -319757.01 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.77s
2025-03-22 22:23:06,823 - Episode 115/1000 | Total Reward: -152229.12 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.93s
2025-03-22 22:23:10,826 - Episode 116/1000 | Total Reward: -190331.49 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.00s
2025-03-22 22:23:16,019 - Episode 117/1000 | Total Reward: -334582.86 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.19s
2025-03-22 22:23:20,622 - Episode 118/1000 | Total Reward: -169143.53 | Explore: 1 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.60s
2025-03-22 22:23:24,709 - Episode 119/1000 | Total Reward: -135517.99 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.09s
2025-03-22 22:23:28,566 - Episode 120/1000 | Total Reward: -169263.60 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.86s
2025-03-22 22:23:32,820 - Episode 121/1000 | Total Reward: -227167.61 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.25s
2025-03-22 22:23:36,889 - Episode 122/1000 | Total Reward: -162046.75 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.07s
2025-03-22 22:23:42,207 - Episode 123/1000 | Total Reward: -347288.11 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.32s
2025-03-22 22:23:46,512 - Episode 124/1000 | Total Reward: -6821.83 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.30s
2025-03-22 22:23:50,434 - Episode 125/1000 | Total Reward: -144287.41 | Explore: 2 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.92s
2025-03-22 22:23:55,455 - Episode 126/1000 | Total Reward: -343610.46 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.02s
2025-03-22 22:23:59,304 - Episode 127/1000 | Total Reward: -113741.48 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.85s
2025-03-22 22:24:04,165 - Episode 128/1000 | Total Reward: -291653.65 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.86s
2025-03-22 22:24:08,763 - Episode 129/1000 | Total Reward: -285540.52 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.60s
2025-03-22 22:24:13,930 - Episode 130/1000 | Total Reward: -335380.49 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.17s
2025-03-22 22:24:17,699 - Episode 131/1000 | Total Reward: -148004.08 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.77s
2025-03-22 22:24:21,706 - Episode 132/1000 | Total Reward: -215570.13 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.01s
2025-03-22 22:24:26,268 - Episode 133/1000 | Total Reward: -274551.50 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.56s
2025-03-22 22:24:29,594 - Episode 134/1000 | Total Reward: -59670.92 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.33s
2025-03-22 22:24:34,826 - Episode 135/1000 | Total Reward: -308221.24 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.23s
2025-03-22 22:24:38,714 - Episode 136/1000 | Total Reward: -166557.33 | Explore: 1 | Exploit: 55 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.89s
2025-03-22 22:24:44,241 - Episode 137/1000 | Total Reward: -47953.51 | Explore: 2 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.53s
2025-03-22 22:24:49,307 - Episode 138/1000 | Total Reward: -272897.22 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.07s
