2025-05-04 12:00:16,587 - INFO - Loaded existing model.
2025-05-04 12:05:26,181 - INFO - Episode 79/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0138, Epsilon: 0.876, Explore: 160, Exploit: 20 ,action: 10
2025-05-04 12:05:30,314 - INFO - Episode 80/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0150, Epsilon: 0.876, Explore: 158, Exploit: 25 ,action: 8
2025-05-04 12:05:34,299 - INFO - Episode 81/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0144, Epsilon: 0.875, Explore: 155, Exploit: 22 ,action: 1
2025-05-04 12:05:38,425 - INFO - Episode 82/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0144, Epsilon: 0.875, Explore: 168, Exploit: 21 ,action: 9
2025-05-04 12:05:42,548 - INFO - Episode 83/3000, Difficulty: 0.00, Reward: -1.6, Loss: 0.0145, Epsilon: 0.875, Explore: 167, Exploit: 22 ,action: 5
2025-05-04 12:05:46,717 - INFO - Episode 84/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0140, Epsilon: 0.875, Explore: 161, Exploit: 26 ,action: 2
2025-05-04 12:05:50,760 - INFO - Episode 85/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0134, Epsilon: 0.874, Explore: 163, Exploit: 22 ,action: 11
2025-05-04 12:05:54,849 - INFO - Episode 86/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0135, Epsilon: 0.874, Explore: 166, Exploit: 19 ,action: 8
2025-05-04 12:05:58,992 - INFO - Episode 87/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0155, Epsilon: 0.874, Explore: 163, Exploit: 24 ,action: 11
2025-05-04 12:06:03,022 - INFO - Episode 88/3000, Difficulty: 0.00, Reward: -2.5, Loss: 0.0139, Epsilon: 0.874, Explore: 160, Exploit: 24 ,action: 10
2025-05-04 12:06:07,166 - INFO - Episode 89/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0132, Epsilon: 0.874, Explore: 163, Exploit: 27 ,action: 11
2025-05-04 12:06:11,365 - INFO - Episode 90/3000, Difficulty: 0.00, Reward: -1.9, Loss: 0.0137, Epsilon: 0.873, Explore: 171, Exploit: 19 ,action: 6
2025-05-04 12:06:15,494 - INFO - Episode 91/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0143, Epsilon: 0.873, Explore: 166, Exploit: 23 ,action: 6
2025-05-04 12:06:19,655 - INFO - Episode 92/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0144, Epsilon: 0.873, Explore: 158, Exploit: 31 ,action: 5
2025-05-04 12:06:23,783 - INFO - Episode 93/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0136, Epsilon: 0.873, Explore: 163, Exploit: 29 ,action: 6
2025-05-04 12:06:27,961 - INFO - Episode 94/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0136, Epsilon: 0.873, Explore: 169, Exploit: 19 ,action: 7
2025-05-04 12:06:32,205 - INFO - Episode 95/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0147, Epsilon: 0.872, Explore: 168, Exploit: 23 ,action: 11
2025-05-04 12:06:36,377 - INFO - Episode 96/3000, Difficulty: 0.00, Reward: -2.3, Loss: 0.0136, Epsilon: 0.872, Explore: 159, Exploit: 28 ,action: 3
2025-05-04 12:06:40,614 - INFO - Episode 97/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0136, Epsilon: 0.872, Explore: 176, Exploit: 19 ,action: 3
2025-05-04 12:06:44,731 - INFO - Episode 98/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0146, Epsilon: 0.872, Explore: 165, Exploit: 17 ,action: 1
2025-05-04 12:06:49,017 - INFO - Episode 99/3000, Difficulty: 0.00, Reward: -1.1, Loss: 0.0135, Epsilon: 0.872, Explore: 176, Exploit: 18 ,action: 3
2025-05-04 12:06:53,221 - INFO - Episode 100/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0133, Epsilon: 0.871, Explore: 153, Exploit: 34 ,action: 11
2025-05-04 12:06:53,225 - INFO - Model saved at episode 100
2025-05-04 12:06:57,426 - INFO - Episode 101/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0143, Epsilon: 0.871, Explore: 158, Exploit: 23 ,action: 5
2025-05-04 12:07:01,703 - INFO - Episode 102/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0132, Epsilon: 0.871, Explore: 171, Exploit: 26 ,action: 1
2025-05-04 12:07:05,820 - INFO - Episode 103/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0131, Epsilon: 0.871, Explore: 164, Exploit: 23 ,action: 7
2025-05-04 12:07:09,921 - INFO - Episode 104/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0127, Epsilon: 0.871, Explore: 157, Exploit: 26 ,action: 6
2025-05-04 12:07:14,272 - INFO - Episode 105/3000, Difficulty: 0.00, Reward: -1.0, Loss: 0.0133, Epsilon: 0.870, Explore: 165, Exploit: 26 ,action: 8
2025-05-04 12:07:18,594 - INFO - Episode 106/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0126, Epsilon: 0.870, Explore: 163, Exploit: 23 ,action: 4
2025-05-04 12:07:22,733 - INFO - Episode 107/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0130, Epsilon: 0.870, Explore: 151, Exploit: 32 ,action: 2
2025-05-04 12:07:26,898 - INFO - Episode 108/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0122, Epsilon: 0.870, Explore: 168, Exploit: 20 ,action: 5
2025-05-04 12:07:31,194 - INFO - Episode 109/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0142, Epsilon: 0.870, Explore: 164, Exploit: 24 ,action: 4
2025-05-04 12:07:35,446 - INFO - Episode 110/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0127, Epsilon: 0.869, Explore: 167, Exploit: 22 ,action: 8
2025-05-04 12:07:39,803 - INFO - Episode 111/3000, Difficulty: 0.00, Reward: -1.1, Loss: 0.0130, Epsilon: 0.869, Explore: 171, Exploit: 18 ,action: 1
2025-05-04 12:07:44,275 - INFO - Episode 112/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0145, Epsilon: 0.869, Explore: 171, Exploit: 25 ,action: 11
2025-05-04 12:07:48,601 - INFO - Episode 113/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0126, Epsilon: 0.869, Explore: 173, Exploit: 20 ,action: 10
2025-05-04 12:07:52,895 - INFO - Episode 114/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0121, Epsilon: 0.868, Explore: 162, Exploit: 30 ,action: 8
2025-05-04 12:07:57,262 - INFO - Episode 115/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0135, Epsilon: 0.868, Explore: 165, Exploit: 29 ,action: 3
2025-05-04 12:08:01,668 - INFO - Episode 116/3000, Difficulty: 0.00, Reward: -2.2, Loss: 0.0124, Epsilon: 0.868, Explore: 162, Exploit: 31 ,action: 2
2025-05-04 12:08:06,205 - INFO - Episode 117/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0125, Epsilon: 0.868, Explore: 164, Exploit: 26 ,action: 11
2025-05-04 12:08:10,698 - INFO - Episode 118/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0131, Epsilon: 0.868, Explore: 167, Exploit: 23 ,action: 6
2025-05-04 12:08:15,127 - INFO - Episode 119/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0125, Epsilon: 0.867, Explore: 166, Exploit: 28 ,action: 0
2025-05-04 12:08:19,676 - INFO - Episode 120/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0122, Epsilon: 0.867, Explore: 171, Exploit: 29 ,action: 6
2025-05-04 12:08:24,028 - INFO - Episode 121/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0115, Epsilon: 0.867, Explore: 159, Exploit: 30 ,action: 4
2025-05-04 12:08:28,404 - INFO - Episode 122/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0124, Epsilon: 0.867, Explore: 173, Exploit: 24 ,action: 11
2025-05-04 12:08:32,784 - INFO - Episode 123/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0121, Epsilon: 0.867, Explore: 176, Exploit: 17 ,action: 8
2025-05-04 12:08:37,173 - INFO - Episode 124/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0121, Epsilon: 0.866, Explore: 176, Exploit: 21 ,action: 4
2025-05-04 12:08:41,535 - INFO - Episode 125/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0117, Epsilon: 0.866, Explore: 174, Exploit: 22 ,action: 9
2025-05-04 12:08:45,950 - INFO - Episode 126/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0113, Epsilon: 0.866, Explore: 176, Exploit: 23 ,action: 8
2025-05-04 12:08:50,392 - INFO - Episode 127/3000, Difficulty: 0.00, Reward: -1.9, Loss: 0.0114, Epsilon: 0.866, Explore: 163, Exploit: 34 ,action: 9
2025-05-04 12:08:54,866 - INFO - Episode 128/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0116, Epsilon: 0.865, Explore: 171, Exploit: 26 ,action: 8
2025-05-04 12:08:59,356 - INFO - Episode 129/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0113, Epsilon: 0.865, Explore: 175, Exploit: 23 ,action: 1
2025-05-04 12:09:03,755 - INFO - Episode 130/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0115, Epsilon: 0.865, Explore: 159, Exploit: 31 ,action: 5
2025-05-04 12:09:08,027 - INFO - Episode 131/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0117, Epsilon: 0.865, Explore: 163, Exploit: 25 ,action: 8
2025-05-04 12:09:12,515 - INFO - Episode 132/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0114, Epsilon: 0.865, Explore: 174, Exploit: 23 ,action: 8
2025-05-04 12:09:16,995 - INFO - Episode 133/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0108, Epsilon: 0.864, Explore: 166, Exploit: 27 ,action: 3
2025-05-04 12:09:21,486 - INFO - Episode 134/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0117, Epsilon: 0.864, Explore: 178, Exploit: 20 ,action: 8
2025-05-04 12:09:26,000 - INFO - Episode 135/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0110, Epsilon: 0.864, Explore: 165, Exploit: 29 ,action: 11
2025-05-04 12:09:30,500 - INFO - Episode 136/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0121, Epsilon: 0.864, Explore: 162, Exploit: 33 ,action: 10
2025-05-04 12:09:35,010 - INFO - Episode 137/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0131, Epsilon: 0.864, Explore: 162, Exploit: 32 ,action: 5
2025-05-04 12:09:39,595 - INFO - Episode 138/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0113, Epsilon: 0.863, Explore: 182, Exploit: 21 ,action: 7
2025-05-04 12:09:44,097 - INFO - Episode 139/3000, Difficulty: 0.00, Reward: -1.7, Loss: 0.0120, Epsilon: 0.863, Explore: 172, Exploit: 24 ,action: 7
2025-05-04 12:09:48,557 - INFO - Episode 140/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0119, Epsilon: 0.863, Explore: 171, Exploit: 24 ,action: 9
2025-05-04 12:09:53,055 - INFO - Episode 141/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0109, Epsilon: 0.863, Explore: 164, Exploit: 28 ,action: 11
2025-05-04 12:09:57,684 - INFO - Episode 142/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0111, Epsilon: 0.862, Explore: 164, Exploit: 32 ,action: 5
2025-05-04 12:10:02,186 - INFO - Episode 143/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0140, Epsilon: 0.862, Explore: 163, Exploit: 29 ,action: 2
2025-05-04 12:10:06,742 - INFO - Episode 144/3000, Difficulty: 0.01, Reward: -0.7, Loss: 0.0114, Epsilon: 0.862, Explore: 167, Exploit: 32 ,action: 5
2025-05-04 12:10:11,197 - INFO - Episode 145/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0114, Epsilon: 0.862, Explore: 173, Exploit: 20 ,action: 10
2025-05-04 12:10:15,701 - INFO - Episode 146/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0101, Epsilon: 0.862, Explore: 157, Exploit: 35 ,action: 9
2025-05-04 12:10:20,457 - INFO - Episode 147/3000, Difficulty: 0.01, Reward: -0.3, Loss: 0.0109, Epsilon: 0.861, Explore: 172, Exploit: 31 ,action: 8
2025-05-04 12:10:25,158 - INFO - Episode 148/3000, Difficulty: 0.01, Reward: -0.6, Loss: 0.0116, Epsilon: 0.861, Explore: 181, Exploit: 25 ,action: 2
2025-05-04 12:10:29,801 - INFO - Episode 149/3000, Difficulty: 0.01, Reward: -0.4, Loss: 0.0114, Epsilon: 0.861, Explore: 167, Exploit: 33 ,action: 11
2025-05-04 12:10:34,260 - INFO - Episode 150/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0110, Epsilon: 0.861, Explore: 166, Exploit: 18 ,action: 10
