episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
164,221.94000000000017,1592.538860103627,10.963730569948186,184,9,0.9687565900006783,0.002439761248852158,16,8.934662996950545
165,221.24999999999994,1371.4771573604062,9.776649746192893,196,1,0.9685615600006825,0.0024697887970615245,15,9.91392896487023
166,193.24000000000007,1312.6195652173913,10.179347826086957,182,2,0.9683794000006865,0.0025000000000000005,11,9.74864693666282
167,213.83000000000007,1157.2184466019417,9.199029126213592,201,5,0.9681754600006909,0.0025303948576675846,9,9.195164667749868
168,216.75000000000006,1539.5684210526315,10.621052631578948,182,8,0.967987360000695,0.002560973370064279,16,9.486009839961403
169,200.30999999999995,1597.967032967033,11.164835164835164,179,3,0.9678071800006989,0.0025917355371900827,20,9.682210975950891
170,215.76999999999998,1253.6274509803923,9.215686274509803,198,6,0.9676052200007033,0.002622681359044995,12,10.040425006811525
171,210.58000000000015,1363.1732673267327,9.5,195,7,0.9674052400007076,0.0026538108356290173,13,10.179780125913053
172,204.21,2120.9195979899496,13.361809045226131,192,7,0.9672082300007119,0.002685123966942149,14,9.300057681062114
173,187.98000000000002,1278.5287958115184,9.853403141361257,184,7,0.967019140000716,0.0027166207529843896,6,9.368202333050872
174,219.52000000000015,1656.531100478469,11.167464114832535,199,10,0.9668122300007205,0.0027483011937557388,18,11.569617650155246
175,188.36000000000004,3369.2096774193546,15.940860215053764,181,5,0.9666280900007245,0.0027801652892561982,26,10.867848339580721
176,212.36000000000013,1274.2602040816328,9.71938775510204,192,4,0.9664340500007287,0.002812213039485767,9,10.021007647547794
177,202.68,1942.197860962567,11.080213903743315,179,8,0.9662489200007327,0.002844444444444445,11,9.963391069422432
178,227.5,1206.495,9.745,198,2,0.966050920000737,0.002876859504132231,19,10.445501765459776
179,180.17000000000004,4092.4514285714286,14.965714285714286,170,5,0.9658776700007408,0.0029094582185491278,22,11.009337456907545
180,207.01000000000008,1453.3403141361257,10.455497382198953,183,8,0.9656885800007449,0.0029422405876951335,19,12.136263746865756
181,216.88999999999993,1529.5867346938776,10.775510204081632,190,6,0.9654945400007491,0.0029752066115702478,22,11.73250573082846
182,213.15999999999997,1624.1666666666667,10.9375,189,3,0.9653044600007532,0.003008356290174472,12,11.691166010995707
183,212.32000000000014,1581.492385786802,10.48730964467005,192,5,0.9651094300007574,0.0030416896235078055,6,12.069869747016636
184,219.05000000000007,1168.5463917525774,9.45360824742268,190,4,0.9649173700007616,0.0030752066115702485,19,11.978202520264793
185,234.87999999999997,1254.6732673267327,9.133663366336634,198,4,0.964717390000766,0.0031089072543617996,7,12.737965542196047
186,222.0599999999999,1696.7291666666667,10.744791666666666,184,8,0.9645273100007701,0.003142791551882461,26,13.447181538523486
187,217.48000000000022,1809.4300518134714,12.300518134715025,186,7,0.9643362400007742,0.003176859504132232,12,13.246081530430157
188,204.73999999999998,1363.4550264550264,8.804232804232804,182,7,0.9641491300007783,0.0032111111111111108,28,11.878076525592299
189,213.96,2236.946524064171,12.935828877005347,183,4,0.9639640000007823,0.0032455463728191,16,12.196529021875106
190,202.34000000000006,2365.561111111111,13.672222222222222,169,11,0.9637858000007862,0.0032801652892561987,9,12.757966516911983
191,232.63000000000005,1513.144927536232,9.908212560386474,199,8,0.9635808700007906,0.0033149678604224063,9,12.99683135546348
192,209.43999999999997,1510.419689119171,10.67357512953368,186,7,0.9633898000007948,0.0033499540863177225,14,12.522178659476147
193,210.49000000000004,1141.3886010362694,9.715025906735752,187,6,0.9631987300007989,0.0033851239669421486,17,13.025421702182355
194,203.09,2347.1657754010694,14.32620320855615,179,8,0.9630136000008029,0.0034204775022956845,42,13.139500092695103
195,251.76000000000002,2143.918269230769,11.576923076923077,197,11,0.9628076800008074,0.0034560146923783286,17,13.204933377985771
196,206.05999999999986,1139.4920634920634,9.275132275132275,183,6,0.9626205700008115,0.0034917355371900825,15,15.2233037362023
197,223.72000000000003,1561.8585365853658,10.551219512195122,200,5,0.9624176200008159,0.003527640036730946,11,15.350049565478068
198,208.47000000000003,2121.9684210526316,12.347368421052632,178,12,0.96222952000082,0.0035637281910009186,23,15.166900989883825
199,233.37,1562.6217616580311,11.253886010362693,186,7,0.9620384500008241,0.0036,28,15.879506294591438
200,196.62999999999997,1726.8510638297873,11.25531914893617,180,8,0.9618523300008281,0.003636455463728191,15,15.099599759312387
201,175.04999999999998,3520.958579881657,15.224852071005918,166,3,0.9616850200008318,0.0036730945821854917,22,16.23732631693225
202,224.69999999999993,1577.9948717948719,10.487179487179487,184,11,0.961491970000836,0.0037099173553719004,11,15.310859931432283
