queue_ns,queue_ew,queue_sn,queue_ws
0.682,0.8,2.04,76.033
1.322,0.8,2.14,84.475
0.0,0.4,2.18,88.242
0.0,0.3,2.28,93.065
0.18,0.8,2.36,103.302
0.568,0.8,2.44,111.927
0.0,0.4,2.5,115.397
0.0,0.1,2.72,134.972
0.0,0.3,2.82,141.008
0.0,0.1,2.84,145.972
0.0,0.3,2.86,149.527
0.0,0.1,3.06,171.505
0.0,0.3,3.12,176.902
0.775,1.0,3.36,200.99
1.5,1.4,3.48,213.808
0.0,0.4,3.5,219.93
0.852,1.0,3.76,248.693
1.71,1.5,3.88,264.89
2.983,1.8,3.96,282.86
0.0,0.3,4.08,291.205
0.142,0.5,4.24,310.208
0.0,0.3,4.28,315.18
0.155,0.4,4.34,330.958
0.595,0.7,4.62,355.507
1.315,0.9,4.82,380.732
2.005,0.9,4.96,399.528
3.012,1.3,5.1,426.377
5.223,2.2,5.32,465.2
8.605,2.8,5.5,505.62
12.822,3.7,5.7,547.765
18.577,4.1,6.02,591.645
21.935,4.7,6.08,616.367
29.108,5.3,6.36,663.093
33.685,5.6,6.52,691.015
39.022,5.8,6.7,722.507
43.663,6.1,6.82,749.545
49.323,6.8,6.88,780.967
54.52,7.0,7.08,808.295
60.282,7.2,7.18,837.98
65.092,7.4,7.3,862.163
73.877,7.7,7.48,905.887
80.008,7.8,7.66,936.247
0.0,1.6,7.86,983.355
0.063,1.7,7.88,990.578
2.862,2.5,8.2,1050.975
3.912,2.7,8.32,1068.883
5.652,3.0,8.44,1096.79
0.0,0.6,8.52,1122.245
0.928,1.0,8.7,1190.393
1.658,1.3,8.82,1222.453
3.765,2.1,8.96,1288.97
5.262,2.2,9.0,1323.457
8.562,2.2,9.0,1390.957
0.0,0.1,9.0,1411.957
0.0,0.0,9.0,1483.207
0.0,0.0,9.0,1554.457
0.0,0.0,9.0,1625.707
0.0,0.0,9.0,1693.207
0.0,0.0,9.0,1760.707
0.0,0.0,9.0,1828.207
0.0,0.0,9.0,1899.457
0.0,0.0,9.0,1970.707
0.0,0.0,9.0,2038.207
0.0,0.0,9.0,2105.707
0.0,0.0,9.0,2173.207
0.0,0.0,9.0,2244.457
0.0,0.0,9.0,2315.707
0.0,0.0,9.0,2386.957
0.0,0.0,9.0,2454.457
0.0,0.0,9.0,2525.707
0.0,0.0,9.0,2593.207
0.0,0.0,9.0,2664.457
0.0,0.0,9.0,2735.707
0.0,0.0,9.0,2803.207
0.0,0.0,9.0,2870.707
0.0,0.0,9.0,2938.207
0.0,0.0,9.0,3009.457
0.0,0.0,9.0,3080.707
0.0,0.0,9.0,3148.207
0.0,0.0,9.0,3215.707
0.0,0.0,9.0,3283.207
0.0,0.0,9.0,3350.707
0.0,0.0,9.0,3418.207
0.0,0.0,9.0,3485.707
0.0,0.0,9.0,3553.207
0.0,0.0,9.0,3620.707
0.0,0.0,9.0,3688.207
0.0,0.0,9.0,3759.457
0.0,0.0,9.0,3830.707
0.0,0.0,9.0,3898.207
0.0,0.0,9.0,3969.457
0.0,0.0,0.0,0.0
0.0,0.3,0.08,0.128
0.18,0.6,0.28,0.972
1.443,1.3,0.46,3.723
2.137,1.3,0.48,4.987
3.385,1.5,0.64,7.813
5.055,1.7,0.76,11.665
7.955,3.0,1.06,18.542
12.36,3.7,1.28,27.445
0.0,0.6,1.32,31.655
0.323,0.7,1.46,36.882
0.835,0.8,1.52,42.685
0.0,0.0,1.54,46.013
0.065,0.2,1.72,53.83
