2025-03-18 00:05:08,105 - Episode 149: Reward=651.1500000000004, Explores=8, Exploits=540, Epsilon=0.0100
2025-03-18 00:05:11,680 - Episode 150: Reward=528.1000000000001, Explores=6, Exploits=518, Epsilon=0.0100
2025-03-18 00:05:15,522 - Episode 151: Reward=539.0500000000002, Explores=6, Exploits=510, Epsilon=0.0100
2025-03-18 00:05:19,315 - Episode 152: Reward=526.2, Explores=7, Exploits=519, Epsilon=0.0100
2025-03-18 00:05:23,117 - Episode 153: Reward=554.3000000000009, Explores=11, Exploits=517, Epsilon=0.0100
2025-03-18 00:05:26,697 - Episode 154: Reward=565.1499999999999, Explores=7, Exploits=520, Epsilon=0.0100
2025-03-18 00:05:30,681 - Episode 155: Reward=593.0500000000002, Explores=6, Exploits=526, Epsilon=0.0100
2025-03-18 00:05:34,768 - Episode 156: Reward=619.8000000000002, Explores=7, Exploits=524, Epsilon=0.0100
2025-03-18 00:05:39,239 - Episode 157: Reward=579.35, Explores=6, Exploits=524, Epsilon=0.0100
2025-03-18 00:05:42,622 - Episode 158: Reward=537.0, Explores=7, Exploits=521, Epsilon=0.0100
2025-03-18 00:05:45,554 - Episode 159: Reward=537.35, Explores=6, Exploits=526, Epsilon=0.0100
2025-03-18 00:05:48,782 - Episode 160: Reward=-17576.950000000026, Explores=3, Exploits=542, Epsilon=0.0100
2025-03-18 00:05:51,670 - Episode 161: Reward=538.2999999999998, Explores=6, Exploits=513, Epsilon=0.0100
2025-03-18 00:05:55,004 - Episode 162: Reward=613.2499999999997, Explores=4, Exploits=526, Epsilon=0.0100
2025-03-18 00:05:57,882 - Episode 163: Reward=554.6499999999996, Explores=7, Exploits=535, Epsilon=0.0100
2025-03-18 00:06:00,876 - Episode 164: Reward=566.3500000000001, Explores=7, Exploits=512, Epsilon=0.0100
2025-03-18 00:06:03,650 - Episode 165: Reward=575.1999999999996, Explores=4, Exploits=525, Epsilon=0.0100
2025-03-18 00:17:57,230 - Episode 1: Reward=125.9999999999999, Explores=229, Exploits=273, Epsilon=0.1107
