2025-04-09 21:34:50,736 - INFO - No saved model found, training from scratch.
2025-04-09 21:41:43,836 - INFO - Episode 116/3000, Difficulty: 0.00, Reward: -1.8, Loss: 0.0008, Epsilon: 0.973, Explore: 209, Exploit: 4
2025-04-09 21:41:47,957 - INFO - Episode 117/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0007, Epsilon: 0.973, Explore: 211, Exploit: 5
2025-04-09 21:41:52,025 - INFO - Episode 118/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0009, Epsilon: 0.972, Explore: 213, Exploit: 0
2025-04-09 21:41:56,021 - INFO - Episode 119/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0007, Epsilon: 0.972, Explore: 207, Exploit: 5
2025-04-09 21:42:00,123 - INFO - Episode 120/3000, Difficulty: 0.00, Reward: -1.6, Loss: 0.0007, Epsilon: 0.972, Explore: 210, Exploit: 4
2025-04-09 21:42:04,238 - INFO - Episode 121/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0009, Epsilon: 0.972, Explore: 209, Exploit: 5
2025-04-09 21:42:08,425 - INFO - Episode 122/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0009, Epsilon: 0.971, Explore: 206, Exploit: 7
2025-04-09 21:42:12,558 - INFO - Episode 123/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.971, Explore: 208, Exploit: 6
2025-04-09 21:42:16,694 - INFO - Episode 124/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.971, Explore: 207, Exploit: 7
2025-04-09 21:42:20,827 - INFO - Episode 125/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.971, Explore: 204, Exploit: 10
2025-04-09 21:42:25,006 - INFO - Episode 126/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0006, Epsilon: 0.971, Explore: 205, Exploit: 8
2025-04-09 21:42:29,142 - INFO - Episode 127/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.970, Explore: 205, Exploit: 7
2025-04-09 21:42:33,314 - INFO - Episode 128/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.970, Explore: 208, Exploit: 5
2025-04-09 21:42:37,521 - INFO - Episode 129/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.970, Explore: 204, Exploit: 10
2025-04-09 21:42:41,729 - INFO - Episode 130/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0007, Epsilon: 0.970, Explore: 207, Exploit: 8
2025-04-09 21:42:45,885 - INFO - Episode 131/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.969, Explore: 211, Exploit: 1
2025-04-09 21:42:50,142 - INFO - Episode 132/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.969, Explore: 209, Exploit: 6
2025-04-09 21:42:54,403 - INFO - Episode 133/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.969, Explore: 205, Exploit: 7
2025-04-09 21:42:58,634 - INFO - Episode 134/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.969, Explore: 206, Exploit: 7
2025-04-09 21:43:02,878 - INFO - Episode 135/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.968, Explore: 200, Exploit: 12
2025-04-09 21:43:07,158 - INFO - Episode 136/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0007, Epsilon: 0.968, Explore: 208, Exploit: 6
2025-04-09 21:43:11,396 - INFO - Episode 137/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0009, Epsilon: 0.968, Explore: 206, Exploit: 7
2025-04-09 21:43:15,672 - INFO - Episode 138/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0008, Epsilon: 0.968, Explore: 205, Exploit: 8
2025-04-09 21:43:19,983 - INFO - Episode 139/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0006, Epsilon: 0.967, Explore: 211, Exploit: 3
